folder,alternativeMeasure,game,series,group,lines,words,sentences,syllables,FleschKincaidReadability,FleschReadability,DaleChallReadability,numCharacters
../data/DiscoElysium/DiscoElysium/,True,Disco Elysium,Disco Elysium,TOTAL,0,NA,NA,NA,NA,NA,NA,0
../data/DiscoElysium/DiscoElysium/,True,Disco Elysium,Disco Elysium,male,0,NA,NA,NA,NA,NA,NA,0
../data/DiscoElysium/DiscoElysium/,True,Disco Elysium,Disco Elysium,female,0,NA,NA,NA,NA,NA,NA,0
../data/DiscoElysium/DiscoElysium/,True,Disco Elysium,Disco Elysium,neutral,0,NA,NA,NA,NA,NA,NA,0
