folder,alternativeMeasure,game,series,group,lines,words,sentences,syllables,FleschKincaidReadability,FleschReadability,DaleChallReadability,numCharacters
../data/Barbie/BarbieDiaries_HighSchoolMystery/,True,Barbie Diaries High School Mystery,Barbie,TOTAL,0,NA,NA,NA,NA,NA,NA,0
../data/Barbie/BarbieDiaries_HighSchoolMystery/,True,Barbie Diaries High School Mystery,Barbie,male,0,NA,NA,NA,NA,NA,NA,0
../data/Barbie/BarbieDiaries_HighSchoolMystery/,True,Barbie Diaries High School Mystery,Barbie,female,0,NA,NA,NA,NA,NA,NA,0
